cp_index,point_id,cp_type,x,y,z,mu
0,0,0,0.0,0.0,-42.4389,0.020829054603361534
1,1,0,33.3333,0.0,-39.4998,0.029357242642508972
2,2,0,70.7071,0.0,-39.2713,0.0269419236244409
3,3,0,100.0,0.0,-44.5956,0.008774458785196396
4,16,1,17.6768,0.0,-14.4752,0.029357242642508972
5,17,1,48.9899,0.0,-11.2481,0.008774458785196396
6,18,1,85.3535,0.0,-16.0046,0.0269419236244409
7,19,1,0.0,15.6566,-16.0219,0.022673527566444848
8,40,2,16.419,15.8235,14.1136,0.018357461617654905
9,20,1,32.3232,16.6667,-10.3674,0.016514887498051536
10,41,2,85.1367,16.8724,12.5068,0.01486674397128343
11,21,1,67.1717,18.6869,-9.37541,0.019578984809039614
12,42,2,49.7947,18.902,16.6458,0.017496458046498835
13,22,1,99.4949,19.1919,-14.1059,0.029570665544630434
14,23,1,17.6768,31.3131,-7.92774,0.018357461617654905
15,24,1,84.3434,31.3131,-8.50984,0.01486674397128343
16,4,0,0.0,32.3232,-37.5569,0.022673527566444848
17,5,0,66.6667,32.3232,-33.3501,0.019578984809039614
18,25,1,51.5152,32.8283,-3.88937,0.017496458046498835
19,6,0,33.3333,33.3333,-32.3925,0.016514887498051536
20,7,0,100.0,33.3333,-38.717,0.029570665544630434
21,26,1,0.0,47.9798,-13.9808,0.020829054603361534
22,27,1,34.3434,51.0101,-4.82853,0.01874457445761879
23,44,2,84.1583,51.1915,18.4384,0.01655667729752736
24,43,2,50.8406,51.2137,26.5671,0.008945955779621971
25,45,2,16.8552,52.8314,16.816,0.01874457445761879
26,28,1,100.0,53.0303,-12.7128,0.021832429896309666
27,29,1,67.1717,54.0404,-5.25987,0.01655667729752736
28,8,0,69.697,66.6667,-30.9525,0.010901049841084347
29,30,1,51.0101,66.6667,-4.89938,0.01788844627060226
30,31,1,84.3434,67.1717,-10.5515,0.01648257381777625
31,9,0,33.3333,67.6768,-32.4783,0.016528453304151203
32,32,1,17.6768,68.1818,-10.6354,0.016528453304151203
33,10,0,98.9899,68.6869,-39.0447,0.029518713406218016
34,11,0,0.0,69.697,-39.601,0.02935575029633036
35,34,1,67.6768,83.3333,-11.2088,0.010901049841084347
36,33,1,0.50505,83.8384,-14.0209,0.02935575029633036
37,46,2,18.8824,84.1215,14.3601,0.01814678917902477
38,35,1,35.3535,84.3434,-6.90452,0.01814678917902477
39,36,1,100.0,84.3434,-13.1178,0.029518713406218016
40,47,2,85.1464,84.5544,14.1241,0.01648257381777625
41,48,2,50.1899,85.1303,17.8402,0.01788844627060226
42,12,0,34.3434,98.9899,-37.8801,0.02896774042188367
43,13,0,66.6667,98.9899,-38.5405,0.029753398645890612
44,14,0,0.0,100.0,-45.483,0.008945955779621971
45,15,0,100.0,100.0,-41.5512,0.021832429896309666
46,37,1,19.697,100.0,-11.951,0.02896774042188367
47,38,1,52.0202,100.0,-10.3207,0.022832077353699017
48,39,1,85.3535,100.0,-13.0503,0.029753398645890612
