Cell ID,Cell Type,DestinationId,NumberOfCriticalPointsOnBoundary,SeparatrixFunctionDifference,SeparatrixFunctionMaximum,SeparatrixFunctionMinimum,SeparatrixId,SeparatrixType,SourceId
0,3,0,2,0.565527,-0.283251,-0.848778,0,0,69
1,3,0,2,0.565527,-0.283251,-0.848778,0,0,69
2,3,0,2,0.565527,-0.283251,-0.848778,0,0,69
3,3,0,2,0.565527,-0.283251,-0.848778,0,0,69
4,3,0,2,0.565527,-0.283251,-0.848778,0,0,69
5,3,0,2,0.565527,-0.283251,-0.848778,0,0,69
6,3,0,2,0.565527,-0.283251,-0.848778,0,0,69
7,3,0,2,0.565527,-0.283251,-0.848778,0,0,69
8,3,0,2,0.565527,-0.283251,-0.848778,0,0,69
9,3,0,2,0.565527,-0.283251,-0.848778,0,0,69
10,3,0,2,0.565527,-0.283251,-0.848778,0,0,69
11,3,0,2,0.565527,-0.283251,-0.848778,0,0,69
12,3,0,2,0.565527,-0.283251,-0.848778,0,0,69
13,3,0,2,0.565527,-0.283251,-0.848778,0,0,69
14,3,0,2,0.565527,-0.283251,-0.848778,0,0,69
15,3,0,2,0.565527,-0.283251,-0.848778,0,0,69
16,3,0,2,0.565527,-0.283251,-0.848778,0,0,69
17,3,0,2,0.565527,-0.283251,-0.848778,0,0,69
18,3,0,2,0.565527,-0.283251,-0.848778,0,0,69
19,3,0,2,0.565527,-0.283251,-0.848778,0,0,69
20,3,0,2,0.565527,-0.283251,-0.848778,0,0,69
21,3,0,2,0.565527,-0.283251,-0.848778,0,0,69
22,3,0,2,0.565527,-0.283251,-0.848778,0,0,69
23,3,0,2,0.565527,-0.283251,-0.848778,0,0,69
24,3,0,2,0.565527,-0.283251,-0.848778,0,0,69
25,3,0,2,0.565527,-0.283251,-0.848778,0,0,69
26,3,0,2,0.565527,-0.283251,-0.848778,0,0,69
27,3,0,2,0.565527,-0.283251,-0.848778,0,0,69
28,3,0,2,0.565527,-0.283251,-0.848778,0,0,69
29,3,0,2,0.565527,-0.283251,-0.848778,0,0,69
30,3,0,2,0.565527,-0.283251,-0.848778,0,0,69
31,3,0,2,0.565527,-0.283251,-0.848778,0,0,69
32,3,0,2,0.565527,-0.283251,-0.848778,0,0,69
33,3,0,2,0.565527,-0.283251,-0.848778,0,0,69
34,3,0,2,0.565527,-0.283251,-0.848778,0,0,69
35,3,33,2,0.506744,-0.283251,-0.789995,1,0,69
36,3,33,2,0.506744,-0.283251,-0.789995,1,0,69
37,3,33,2,0.506744,-0.283251,-0.789995,1,0,69
38,3,33,2,0.506744,-0.283251,-0.789995,1,0,69
39,3,33,2,0.506744,-0.283251,-0.789995,1,0,69
40,3,33,2,0.506744,-0.283251,-0.789995,1,0,69
41,3,33,2,0.506744,-0.283251,-0.789995,1,0,69
42,3,33,2,0.506744,-0.283251,-0.789995,1,0,69
43,3,33,2,0.506744,-0.283251,-0.789995,1,0,69
44,3,33,2,0.506744,-0.283251,-0.789995,1,0,69
45,3,33,2,0.506744,-0.283251,-0.789995,1,0,69
46,3,33,2,0.506744,-0.283251,-0.789995,1,0,69
47,3,33,2,0.506744,-0.283251,-0.789995,1,0,69
48,3,33,2,0.506744,-0.283251,-0.789995,1,0,69
49,3,33,2,0.506744,-0.283251,-0.789995,1,0,69
50,3,33,2,0.506744,-0.283251,-0.789995,1,0,69
51,3,33,2,0.506744,-0.283251,-0.789995,1,0,69
52,3,33,2,0.506744,-0.283251,-0.789995,1,0,69
53,3,33,2,0.506744,-0.283251,-0.789995,1,0,69
54,3,33,2,0.506744,-0.283251,-0.789995,1,0,69
55,3,33,2,0.506744,-0.283251,-0.789995,1,0,69
56,3,33,2,0.506744,-0.283251,-0.789995,1,0,69
57,3,33,2,0.506744,-0.283251,-0.789995,1,0,69
58,3,33,2,0.506744,-0.283251,-0.789995,1,0,69
59,3,33,2,0.506744,-0.283251,-0.789995,1,0,69
60,3,33,2,0.506744,-0.283251,-0.789995,1,0,69
61,3,33,2,0.506744,-0.283251,-0.789995,1,0,69
62,3,33,2,0.506744,-0.283251,-0.789995,1,0,69
63,3,33,2,0.506744,-0.283251,-0.789995,1,0,69
64,3,33,2,0.506744,-0.283251,-0.789995,1,0,69
65,3,33,2,0.506744,-0.283251,-0.789995,1,0,69
66,3,33,2,0.506744,-0.283251,-0.789995,1,0,69
67,3,33,2,0.506744,-0.283251,-0.789995,1,0,69
68,3,33,2,0.506744,-0.283251,-0.789995,1,0,69
69,3,33,2,0.506744,-0.283251,-0.789995,1,0,69
70,3,33,2,0.566582,-0.223413,-0.789995,2,0,193
71,3,33,2,0.566582,-0.223413,-0.789995,2,0,193
72,3,33,2,0.566582,-0.223413,-0.789995,2,0,193
73,3,33,2,0.566582,-0.223413,-0.789995,2,0,193
74,3,33,2,0.566582,-0.223413,-0.789995,2,0,193
75,3,33,2,0.566582,-0.223413,-0.789995,2,0,193
76,3,33,2,0.566582,-0.223413,-0.789995,2,0,193
77,3,33,2,0.566582,-0.223413,-0.789995,2,0,193
78,3,33,2,0.566582,-0.223413,-0.789995,2,0,193
79,3,33,2,0.566582,-0.223413,-0.789995,2,0,193
80,3,33,2,0.566582,-0.223413,-0.789995,2,0,193
81,3,33,2,0.566582,-0.223413,-0.789995,2,0,193
82,3,33,2,0.566582,-0.223413,-0.789995,2,0,193
83,3,33,2,0.566582,-0.223413,-0.789995,2,0,193
84,3,33,2,0.566582,-0.223413,-0.789995,2,0,193
85,3,33,2,0.566582,-0.223413,-0.789995,2,0,193
86,3,33,2,0.566582,-0.223413,-0.789995,2,0,193
87,3,33,2,0.566582,-0.223413,-0.789995,2,0,193
88,3,33,2,0.566582,-0.223413,-0.789995,2,0,193
89,3,33,2,0.566582,-0.223413,-0.789995,2,0,193
90,3,33,2,0.566582,-0.223413,-0.789995,2,0,193
91,3,33,2,0.566582,-0.223413,-0.789995,2,0,193
92,3,33,2,0.566582,-0.223413,-0.789995,2,0,193
93,3,33,2,0.566582,-0.223413,-0.789995,2,0,193
94,3,33,2,0.566582,-0.223413,-0.789995,2,0,193
95,3,33,2,0.566582,-0.223413,-0.789995,2,0,193
96,3,33,2,0.566582,-0.223413,-0.789995,2,0,193
97,3,33,2,0.566582,-0.223413,-0.789995,2,0,193
98,3,33,2,0.566582,-0.223413,-0.789995,2,0,193
99,3,33,2,0.566582,-0.223413,-0.789995,2,0,193
100,3,33,2,0.566582,-0.223413,-0.789995,2,0,193
101,3,33,2,0.566582,-0.223413,-0.789995,2,0,193
102,3,33,2,0.566582,-0.223413,-0.789995,2,0,193
103,3,33,2,0.566582,-0.223413,-0.789995,2,0,193
104,3,33,2,0.566582,-0.223413,-0.789995,2,0,193
105,3,70,2,0.562013,-0.223413,-0.785426,3,0,193
106,3,70,2,0.562013,-0.223413,-0.785426,3,0,193
107,3,70,2,0.562013,-0.223413,-0.785426,3,0,193
108,3,70,2,0.562013,-0.223413,-0.785426,3,0,193
109,3,70,2,0.562013,-0.223413,-0.785426,3,0,193
110,3,70,2,0.562013,-0.223413,-0.785426,3,0,193
111,3,70,2,0.562013,-0.223413,-0.785426,3,0,193
112,3,70,2,0.562013,-0.223413,-0.785426,3,0,193
113,3,70,2,0.562013,-0.223413,-0.785426,3,0,193
114,3,70,2,0.562013,-0.223413,-0.785426,3,0,193
115,3,70,2,0.562013,-0.223413,-0.785426,3,0,193
116,3,70,2,0.562013,-0.223413,-0.785426,3,0,193
117,3,70,2,0.562013,-0.223413,-0.785426,3,0,193
