region_id,vc_x,vc_y,vc_z,boundary_cps
1,8.465563711308537,8.158526547651539,-14.280927058733383,"[0, 4, 7, 8]"
2,24.740787904241962,8.038382619867646,-12.3790207465992,"[1, 4, 9, 8]"
3,40.62133099362618,8.368569006373821,-12.72404519988148,"[1, 5, 9, 12]"
4,77.5586226759608,8.011423130085463,-13.924174823890208,"[2, 6, 11, 10]"
5,59.15192206669271,10.444328403022814,-9.287827089901548,"[2, 5, 11, 12]"
6,92.02452536576656,9.053534424968905,-14.53201298516353,"[3, 6, 13, 10]"
7,8.815396448102572,23.46447554816018,-10.900125287668292,"[16, 7, 14, 8]"
8,7.249816571030026,41.144257489795315,-12.834044674983256,"[16, 14, 21, 25]"
9,75.57838674131494,24.868262831472176,-10.08801045927681,"[17, 11, 15, 10]"
10,58.90772796366772,26.151156644498407,-8.419031939070283,"[17, 11, 18, 12]"
11,58.413519368392244,42.17443995939533,-3.298496185012048,"[17, 18, 27, 24]"
12,75.9853343495271,42.37527005060612,-6.343894424678562,"[17, 15, 27, 23]"
13,24.647843973262916,24.342056026737083,-8.800315298273256,"[19, 9, 14, 8]"
14,42.535193584756435,25.266228736942452,-5.950320235416006,"[19, 9, 18, 12]"
15,42.345393078323646,42.53745078725207,-3.2166111779911417,"[19, 18, 22, 24]"
16,26.36401717898057,41.57986807353511,-8.94623739426017,"[19, 14, 22, 25]"
17,92.37452946527773,24.88819642777782,-11.956595478341645,"[20, 13, 15, 10]"
18,92.16627889638153,42.16418041135986,-10.531758893455397,"[20, 15, 26, 23]"
19,60.57684815492768,59.19264840680604,-4.1225701419086604,"[28, 27, 29, 24]"
20,75.5260213089921,60.428998648052776,-9.439244025835567,"[28, 27, 30, 23]"
21,76.61001575234751,74.6707617676587,-10.819467773986357,"[28, 30, 35, 40]"
22,60.09680396830532,75.75334944819056,-7.639507044539872,"[28, 29, 35, 41]"
23,42.704534459263414,58.864500557693106,-2.868398943125831,"[31, 22, 29, 24]"
24,25.24206091927342,60.387265366212226,-8.136443596966522,"[31, 22, 32, 25]"
25,26.112205992589715,75.8941930083012,-8.964112431104994,"[31, 32, 38, 37]"
26,42.08729315164983,76.74077609674076,-6.194474726135983,"[31, 29, 38, 41]"
27,91.91093372550223,60.336530076401175,-11.602387664438323,"[33, 26, 30, 23]"
28,92.50358506084207,76.12155180749727,-13.010863735992956,"[33, 30, 39, 40]"
29,10.131791241586756,59.55895723787878,-8.87581266570756,"[34, 21, 32, 25]"
30,8.714020364941788,76.35374844056385,-13.55050164404885,"[34, 32, 36, 37]"
31,27.392006494291735,92.30494435675101,-11.931590804416448,"[42, 38, 46, 37]"
32,42.94058650156113,91.47066445669161,-8.054933484398688,"[42, 38, 47, 41]"
33,76.3005868131766,91.46434638757066,-11.596223433623244,"[43, 35, 48, 40]"
34,59.015166000625676,92.55374731150901,-11.537891024014975,"[43, 35, 47, 41]"
35,9.855450164942418,91.71240067766607,-13.63051117354379,"[44, 36, 46, 37]"
36,92.57566173339495,92.27975984739895,-13.403180682268784,"[45, 39, 48, 40]"
