Point ID,CellDimension,CellId,data,IsOnBoundary,ManifoldSize,Points_0,Points_1,Points_2,Points_Magnitude,ttkVertexScalarField
0,0,0,-0.848778,1,312,0,0,-42.4389,42.4389,0
1,0,33,-0.789995,1,567,33.3333,0,-39.4998,51.685,33
2,0,70,-0.785426,1,574,70.7071,0,-39.2713,80.8809,70
3,0,99,-0.891911,1,250,100,0,-44.5956,109.493,99
16,1,69,-0.283251,1,0,17.6768,0,-14.4752,22.8473,18
17,1,193,-0.223413,1,0,48.9899,0,-11.2481,50.2646,48
18,1,337,-0.317534,1,0,85.3535,0,-16.0046,86.8411,85
19,1,4571,-0.318979,1,0,0,15.6566,-16.0219,22.4015,1500
40,2,3003,0.287211,0,1058,16.419,15.8235,14.1136,26.8171,1616
20,1,4962,-0.204306,0,0,32.3232,16.6667,-10.3674,37.816,1632
41,2,3337,0.255263,0,1069,85.1367,16.8724,12.5068,87.6889,1785
21,1,5662,-0.184776,0,0,67.1717,18.6869,-9.37541,70.3501,1866
42,2,3663,0.337176,0,1078,49.7947,18.902,16.6458,55.8021,1849
22,1,5760,-0.299586,1,0,99.4949,19.1919,-14.1059,102.306,1999
23,1,9093,-0.1543,0,0,17.6768,31.3131,-7.92774,36.8216,3117
24,1,9291,-0.163746,0,0,84.3434,31.3131,-8.50984,90.37,3183
4,0,3200,-0.751138,1,609,0,32.3232,-37.5569,49.5511,3200
5,0,3266,-0.667002,0,1099,66.6667,32.3232,-33.3501,81.2494,3266
25,1,9787,-0.0712759,0,0,51.5152,32.8283,-3.88937,61.2098,3351
6,0,3333,-0.647849,0,1104,33.3333,33.3333,-32.3925,57.197,3333
7,0,3399,-0.77434,1,595,100,33.3333,-38.717,112.295,3399
26,1,14107,-0.271851,1,0,0,47.9798,-13.9808,49.9752,4700
27,1,15100,-0.0949415,0,0,34.3434,51.0101,-4.82853,61.6832,5034
44,2,10067,0.378243,0,1118,84.1583,51.1915,18.4384,100.216,5183
43,2,10001,0.538948,0,1153,50.8406,51.2137,26.5671,76.8988,5050
45,2,10328,0.34307,0,1171,16.8552,52.8314,16.816,57.9486,5217
28,1,15891,-0.245415,1,0,100,53.0303,-12.7128,113.903,5299
29,1,16092,-0.102943,0,0,67.1717,54.0404,-5.25987,86.3717,5366
8,0,6669,-0.619051,0,1072,69.697,66.6667,-30.9525,101.293,6669
30,1,19622,-0.0923395,0,0,51.0101,66.6667,-4.89938,84.0861,6650
31,1,20017,-0.200375,0,0,84.3434,67.1717,-10.5515,108.338,6683
9,0,6733,-0.649565,0,1040,33.3333,67.6768,-32.4783,82.1346,6733
32,1,20117,-0.208743,0,0,17.6768,68.1818,-10.6354,71.2344,6717
10,0,6898,-0.780894,0,523,98.9899,68.6869,-39.0447,126.655,6898
11,0,6900,-0.792021,1,614,0,69.697,-39.601,80.1618,6900
34,1,24735,-0.22279,0,0,67.6768,83.3333,-11.2088,107.936,8367
33,1,24538,-0.284911,1,0,0.50505,83.8384,-14.0209,85.0042,8300
46,2,16470,0.28986,0,1089,18.8824,84.1215,14.3601,87.4024,8319
35,1,24937,-0.136338,0,0,35.3535,84.3434,-6.90452,91.7135,8335
36,1,25129,-0.256927,1,0,100,84.3434,-13.1178,131.476,8499
47,2,16603,0.283533,0,1002,85.1464,84.5544,14.1241,120.826,8484
48,2,16730,0.36032,0,1054,50.1899,85.1303,17.8402,100.421,8450
12,0,9834,-0.757602,0,535,34.3434,98.9899,-37.8801,111.415,9834
13,0,9866,-0.770811,0,571,66.6667,98.9899,-38.5405,125.415,9866
14,0,9900,-0.909659,1,258,0,100,-45.483,109.858,9900
15,0,9999,-0.831024,1,277,100,100,-41.5512,147.399,9999
37,1,29363,-0.275822,1,0,19.697,100,-11.951,102.62,9920
38,1,29459,-0.202512,1,0,52.0202,100,-10.3207,113.193,9951
39,1,29558,-0.258832,1,0,85.3535,100,-13.0503,132.119,9984
