Point ID,AscendingManifold,data,data_Order,DescendingManifold,MorseSmaleManifold,Points_0,Points_1,Points_2,Points_Magnitude,TextureCoordinates_0,TextureCoordinates_1,TextureCoordinates_Magnitude
0,0,-0.848778,12,0,1,0,0,-42.4389,42.4389,0,0,0
1,0,-0.840135,14,0,1,1.0101,0,-42.0067,42.0189,0.010101,0,0.010101
2,0,-0.807176,27,0,1,2.0202,0,-40.3588,40.4093,0.020202,0,0.020202
3,0,-0.806945,28,0,1,3.0303,0,-40.3472,40.4609,0.030303,0,0.030303
4,0,-0.806945,29,0,1,4.0404,0,-42.0556,42.2492,0.040404,0,0.040404
5,0,-0.806945,31,0,1,5.05051,0,-40.7314,41.0433,0.050505,0,0.050505
6,0,-0.737597,156,0,1,6.06061,0,-36.8798,37.3745,0.0606061,0,0.0606061
7,0,-0.668541,357,0,1,7.07071,0,-33.427,34.1667,0.0707071,0,0.0707071
8,0,-0.616991,610,0,1,8.08081,0,-30.8496,31.8904,0.0808081,0,0.0808081
9,0,-0.559799,980,0,1,9.09091,0,-27.99,29.4293,0.0909091,0,0.0909091
10,0,-0.4736,1652,0,1,10.101,0,-23.68,25.7444,0.10101,0,0.10101
11,0,-0.411902,2203,0,1,11.1111,0,-20.5951,23.4012,0.111111,0,0.111111
12,0,-0.380062,2518,0,1,12.1212,0,-19.0031,22.5398,0.121212,0,0.121212
13,0,-0.346292,2859,0,1,13.1313,0,-17.3146,21.7308,0.131313,0,0.131313
14,0,-0.330762,3024,0,1,14.1414,0,-16.5381,21.7598,0.141414,0,0.141414
15,0,-0.328641,3054,0,1,15.1515,0,-16.4321,22.3513,0.151515,0,0.151515
16,0,-0.314083,3234,0,1,16.1616,0,-15.7041,22.5348,0.161616,0,0.161616
17,0,-0.295757,3466,0,1,17.1717,0,-14.7878,22.6616,0.171717,0,0.171717
18,0,-0.283251,3638,1,2,18.1818,0,-14.1625,23.0468,0.181818,0,0.181818
19,0,-0.313463,3242,1,2,19.1919,0,-15.6732,24.7786,0.191919,0,0.191919
20,0,-0.35795,2733,1,2,20.202,0,-17.8975,26.9897,0.20202,0,0.20202
21,0,-0.371096,2616,1,2,21.2121,0,-18.5548,28.1822,0.212121,0,0.212121
22,0,-0.37457,2578,1,2,22.2222,0,-18.7285,29.0617,0.222222,0,0.222222
23,0,-0.418052,2152,1,2,23.2323,0,-20.9026,31.2516,0.232323,0,0.232323
24,0,-0.478365,1616,1,2,24.2424,0,-23.9182,34.0555,0.242424,0,0.242424
25,0,-0.514913,1298,1,2,25.2525,0,-25.7456,36.0628,0.252525,0,0.252525
26,0,-0.541727,1106,1,2,26.2626,0,-27.0864,37.7279,0.262626,0,0.262626
27,0,-0.591669,761,1,2,27.2727,0,-29.5834,40.2366,0.272727,0,0.272727
28,-1,-0.639233,494,1,0,28.2828,0,-31.9617,42.6786,0.282828,0,0.282828
29,-1,-0.658546,405,1,0,29.2929,0,-32.9273,44.0714,0.292929,0,0.292929
30,-1,-0.683399,306,1,0,30.303,0,-34.1699,45.6712,0.30303,0,0.30303
31,-1,-0.744495,137,1,0,31.3131,0,-37.2247,48.6435,0.313131,0,0.313131
32,-1,-0.787084,47,1,0,32.3232,0,-39.3542,50.9269,0.323232,0,0.323232
33,2,-0.789995,43,1,3,33.3333,0,-39.4998,51.685,0.333333,0,0.333333
34,-1,-0.762662,85,1,0,34.3434,0,-38.1331,51.3186,0.343434,0,0.343434
35,-1,-0.736102,160,1,0,35.3535,0,-36.8051,51.0342,0.353535,0,0.353535
36,-1,-0.731248,170,1,0,36.3636,0,-36.5624,51.5667,0.363636,0,0.363636
37,-1,-0.713996,209,1,0,37.3737,0,-35.6998,51.6844,0.373737,0,0.373737
38,-1,-0.651679,438,1,0,38.3838,0,-32.5839,50.3491,0.383838,0,0.383838
39,-1,-0.572983,891,1,0,39.3939,0,-28.6491,48.7099,0.393939,0,0.393939
40,-1,-0.535708,1148,1,0,40.404,0,-26.7854,48.4762,0.40404,0,0.40404
41,-1,-0.535448,1152,1,0,41.4141,0,-26.7724,49.3142,0.414141,0,0.414141
42,-1,-0.519897,1264,1,0,42.4242,0,-25.9949,49.7549,0.424242,0,0.424242
43,2,-0.459107,1781,1,3,43.4343,0,-22.9554,49.1273,0.434343,0,0.434343
44,2,-0.395551,2358,1,3,44.4444,0,-19.7776,48.6463,0.444444,0,0.444444
45,2,-0.343576,2890,1,3,45.4545,0,-17.1788,48.5924,0.454545,0,0.454545
46,2,-0.292955,3498,1,3,46.4646,0,-14.6477,48.7188,0.464646,0,0.464646
47,2,-0.24931,4116,1,3,47.4747,0,-12.4655,49.084,0.474747,0,0.474747
48,2,-0.223413,4491,1,3,48.4848,0,-11.1707,49.755,0.484848,0,0.484848
49,2,-0.226511,4443,2,5,49.4949,0,-11.3256,50.7742,0.494949,0,0.494949
50,-1,-0.240847,4236,2,0,50.5051,0,-12.0423,51.9209,0.50505,0,0.50505
51,-1,-0.27643,3730,2,0,51.5152,0,-13.8215,53.3371,0.515152,0,0.515152
52,-1,-0.326318,3081,2,0,52.5253,0,-16.3159,55.001,0.525253,0,0.525253
53,2,-0.344398,2876,2,5,53.5354,0,-17.2199,56.2366,0.535354,0,0.535354
54,2,-0.348703,2831,2,5,54.5455,0,-17.4351,57.2642,0.545455,0,0.545455
55,2,-0.361319,2697,2,5,55.5556,0,-18.066,58.4192,0.555556,0,0.555556
56,2,-0.375559,2567,2,5,56.5657,0,-18.778,59.6011,0.565657,0,0.565657
57,-1,-0.409935,2225,2,0,57.5758,0,-20.4967,61.1153,0.575758,0,0.575758
58,-1,-0.48727,1537,2,0,58.5859,0,-24.3635,63.4499,0.585859,0,0.585859
59,-1,-0.570289,909,2,0,59.596,0,-28.5144,66.0663,0.59596,0,0.59596
60,-1,-0.641455,484,2,0,60.6061,0,-32.0728,68.5694,0.606061,0,0.606061
61,2,-0.650123,448,2,5,61.6162,0,-32.9719,69.8835,0.616162,0,0.616162
62,2,-0.650123,447,2,5,62.6263,0,-32.5062,70.5599,0.626263,0,0.626263
63,-1,-0.661507,394,2,0,63.6364,0,-33.0753,71.7187,0.636364,0,0.636364
64,-1,-0.682756,308,2,0,64.6465,0,-34.1378,73.1065,0.646465,0,0.646465
65,-1,-0.715366,207,2,0,65.6566,0,-35.7683,74.7673,0.656566,0,0.656566
66,-1,-0.749644,118,2,0,66.6667,0,-37.4822,76.4811,0.666667,0,0.666667
67,1,-0.749922,116,2,4,67.6768,0,-37.8764,77.5549,0.676768,0,0.676768
68,1,-0.749922,115,2,4,68.6869,0,-37.4961,78.255,0.686869,0,0.686869
69,1,-0.766967,75,2,4,69.697,0,-38.3484,79.5504,0.69697,0,0.69697
70,1,-0.785426,51,2,4,70.7071,0,-39.2713,80.8809,0.707071,0,0.707071
71,1,-0.762971,82,2,4,71.7172,0,-38.1485,81.2322,0.717172,0,0.717172
72,1,-0.705496,235,2,4,72.7273,0,-35.2748,80.8305,0.727273,0,0.727273
73,1,-0.632767,542,2,4,73.7374,0,-31.6383,80.2383,0.737374,0,0.737374
74,1,-0.565629,942,2,4,74.7475,0,-28.2815,79.9189,0.747475,0,0.747475
75,1,-0.50808,1353,2,4,75.7576,0,-25.404,79.9035,0.757576,0,0.757576
76,1,-0.465943,1728,2,4,76.7677,0,-23.2971,80.2249,0.767677,0,0.767677
