Point ID,CellDimension,CellId,data,IsOnBoundary,ManifoldSize,Points_0,Points_1,Points_2,Points_Magnitude,ttkVertexScalarField
0,0,4,-0.944856,1,291,4.0404,0,-47.2428,47.4152,4
1,0,70,-0.881296,1,171,70.7071,0,-44.0648,83.3139,70
22,1,69,-0.251121,1,0,17.6768,0,-13.5115,22.2493,18
23,1,193,-0.156899,1,0,48.9899,0,-8.5365,49.7281,48
24,1,321,-0.309176,1,0,81.3131,0,-16.4353,82.9575,80
2,0,235,-0.888773,0,702,35.3535,2.0202,-44.4387,56.8221,235
25,1,1190,-0.665314,0,0,66.6667,3.53535,-33.5972,74.7376,466
3,0,463,-0.782439,0,374,63.6364,4.0404,-39.122,74.8093,463
4,0,499,-1.01742,1,212,100,4.0404,-50.8709,112.268,499
26,1,3077,-0.387758,1,0,100,9.59596,-21.3729,102.708,1099
5,0,1299,-0.567843,1,41,100,12.1212,-28.3922,104.657,1299
27,1,4273,-0.321349,1,0,0,14.6465,-16.2851,21.9026,1500
54,2,3003,0.351419,0,792,16.3336,15.8039,16.5938,28.1408,1516
55,2,3215,0.274972,0,193,23.4913,16.7099,12.1145,31.2701,1723
28,1,5224,0.142824,0,0,20.202,17.6768,6.29202,27.5713,1720
29,1,5377,-0.17811,0,0,71.7172,17.6768,-9.12044,74.4245,1871
56,2,3527,0.280051,0,1021,81.2047,17.8823,13.0826,84.1733,1880
57,2,3663,0.354253,0,1158,49.7797,18.8778,17.5302,56.0509,1949
30,1,5858,-0.216171,0,0,32.8283,19.697,-11.2176,39.8936,2033
31,1,6057,-0.311079,1,0,100,19.697,-10.9149,102.504,1999
32,1,8990,-0.169319,0,0,83.3333,30.303,-8.76046,89.1037,3083
6,0,3100,-0.757362,1,615,0,31.3131,-37.8681,49.1376,3100
33,1,9090,-0.135107,0,0,16.6667,31.3131,-7.56465,36.27,3117
7,0,3266,-0.751621,0,1064,66.6667,32.3232,-37.581,83.0757,3266
34,1,9787,-0.044567,0,0,51.5152,32.8283,-3.13112,61.1663,3351
8,0,3333,-0.690791,0,997,33.3333,33.3333,-34.5396,58.4397,3333
9,0,3398,-0.822689,0,621,98.9899,33.3333,-41.1344,112.259,3398
35,1,13804,-0.215917,1,0,99.4949,45.9596,-11.3635,110.185,4699
36,1,13809,-0.289565,1,0,0,46.9697,-13.5992,48.8988,4700
37,1,14004,-0.0957071,0,0,66.6667,46.9697,-4.98945,81.7037,4766
10,0,5099,-0.374693,1,21,100,50.5051,-18.7346,113.586,5099
58,2,9929,0.404521,0,1282,14.4063,51.1005,19.3347,56.5033,5114
11,0,5166,-0.299222,0,48,66.6667,51.5152,-14.9611,85.5692,5166
59,2,10200,0.639257,0,1005,52.1682,51.7315,30.8581,79.6862,5252
38,1,15401,-0.126229,0,0,35.3535,52.0202,-6.37379,63.2187,5135
60,2,10462,0.452217,0,1110,84.5387,52.786,21.9545,102.055,5384
39,1,15786,-0.071597,0,0,64.6465,53.0303,-4.16603,83.7182,5364
40,1,15891,-0.244191,1,0,100,53.0303,-11.5965,113.784,5299
12,0,6302,-0.723661,0,177,2.0202,63.6364,-36.183,73.2317,6302
41,1,19482,-0.606713,0,0,4.54545,66.1616,-31.7659,73.5329,6504
13,0,6669,-0.649978,0,1151,69.697,66.6667,-32.4989,101.776,6669
42,1,19622,-0.113806,0,0,51.0101,66.6667,-6.22439,84.1737,6650
43,1,20017,-0.228099,0,0,84.3434,67.1717,-12.3749,108.531,6683
14,0,6733,-0.695081,0,986,33.3333,67.6768,-34.7541,83.0608,6733
15,0,6898,-0.85587,0,495,98.9899,68.6869,-42.7935,127.86,6898
44,1,20424,-0.208782,0,0,20.7071,69.1919,-10.6719,73.0082,6820
16,0,6900,-0.864579,1,506,0,69.697,-43.229,82.0147,6900
61,2,13762,0.204821,0,82,51.132,69.9336,9.77002,87.1817,6951
45,1,21104,0.0827118,0,0,48.9899,71.2121,3.63059,86.5122,7048
62,2,15678,0.351189,0,1019,18.8526,80.1201,16.9661,84.0387,7919
46,1,23939,-0.2479,1,0,0.50505,81.3131,-12.5168,82.2724,8000
47,1,24937,-0.0862901,0,0,35.3535,84.3434,-4.322,91.5553,8435
48,1,25128,-0.198699,1,0,99.4949,84.3434,-10.9071,130.889,8499
64,2,16800,0.345368,0,976,85.5936,85.202,16.8878,121.946,8485
63,2,16731,0.412335,0,997,49.7857,85.5542,20.4943,101.085,8549
49,1,25631,-0.274268,0,0,68.1818,86.3636,-13.8266,110.899,8668
17,0,9766,-0.842689,0,450,66.6667,97.9798,-42.1345,125.777,9766
50,1,28764,-0.273927,0,0,18.6869,97.9798,-13.8665,100.705,9719
18,0,9834,-0.793823,0,507,34.3434,98.9899,-39.6912,112.044,9834
19,0,9899,-0.840253,1,248,100,98.9899,-42.0127,146.847,9899
52,1,29514,-0.61091,1,0,71.2121,99.4949,-30.6958,126.145,9971
20,0,9900,-1.00574,1,261,0,100,-50.2868,111.932,9900
21,0,9973,-0.759251,1,62,73.7374,100,-37.9626,129.917,9973
51,1,29459,-0.138294,1,0,52.0202,100,-6.92494,112.934,9952
53,1,29558,-0.229294,1,0,85.3535,100,-9.95204,131.849,9985
