Cell ID,Cell Type,DestinationId,NumberOfCriticalPointsOnBoundary,SeparatrixFunctionDifference,SeparatrixFunctionMaximum,SeparatrixFunctionMinimum,SeparatrixId,SeparatrixType,SourceId
0,3,4,2,0.693734,-0.251121,-0.944856,0,0,69
1,3,4,2,0.693734,-0.251121,-0.944856,0,0,69
2,3,4,2,0.693734,-0.251121,-0.944856,0,0,69
3,3,4,2,0.693734,-0.251121,-0.944856,0,0,69
4,3,4,2,0.693734,-0.251121,-0.944856,0,0,69
5,3,4,2,0.693734,-0.251121,-0.944856,0,0,69
6,3,4,2,0.693734,-0.251121,-0.944856,0,0,69
7,3,4,2,0.693734,-0.251121,-0.944856,0,0,69
8,3,4,2,0.693734,-0.251121,-0.944856,0,0,69
9,3,4,2,0.693734,-0.251121,-0.944856,0,0,69
10,3,4,2,0.693734,-0.251121,-0.944856,0,0,69
11,3,4,2,0.693734,-0.251121,-0.944856,0,0,69
12,3,4,2,0.693734,-0.251121,-0.944856,0,0,69
13,3,4,2,0.693734,-0.251121,-0.944856,0,0,69
14,3,4,2,0.693734,-0.251121,-0.944856,0,0,69
15,3,4,2,0.693734,-0.251121,-0.944856,0,0,69
16,3,4,2,0.693734,-0.251121,-0.944856,0,0,69
17,3,4,2,0.693734,-0.251121,-0.944856,0,0,69
18,3,4,2,0.693734,-0.251121,-0.944856,0,0,69
19,3,4,2,0.693734,-0.251121,-0.944856,0,0,69
20,3,4,2,0.693734,-0.251121,-0.944856,0,0,69
21,3,4,2,0.693734,-0.251121,-0.944856,0,0,69
22,3,4,2,0.693734,-0.251121,-0.944856,0,0,69
23,3,4,2,0.693734,-0.251121,-0.944856,0,0,69
24,3,4,2,0.693734,-0.251121,-0.944856,0,0,69
25,3,4,2,0.693734,-0.251121,-0.944856,0,0,69
26,3,4,2,0.693734,-0.251121,-0.944856,0,0,69
27,3,4,2,0.693734,-0.251121,-0.944856,0,0,69
28,3,4,2,0.693734,-0.251121,-0.944856,0,0,69
29,3,235,1,0.637652,-0.251121,-0.888773,1,0,69
30,3,235,1,0.637652,-0.251121,-0.888773,1,0,69
31,3,235,1,0.637652,-0.251121,-0.888773,1,0,69
32,3,235,1,0.637652,-0.251121,-0.888773,1,0,69
33,3,235,1,0.637652,-0.251121,-0.888773,1,0,69
34,3,235,1,0.637652,-0.251121,-0.888773,1,0,69
35,3,235,1,0.637652,-0.251121,-0.888773,1,0,69
36,3,235,1,0.637652,-0.251121,-0.888773,1,0,69
37,3,235,1,0.637652,-0.251121,-0.888773,1,0,69
38,3,235,1,0.637652,-0.251121,-0.888773,1,0,69
39,3,235,1,0.637652,-0.251121,-0.888773,1,0,69
40,3,235,1,0.637652,-0.251121,-0.888773,1,0,69
41,3,235,1,0.637652,-0.251121,-0.888773,1,0,69
42,3,235,1,0.637652,-0.251121,-0.888773,1,0,69
43,3,235,1,0.637652,-0.251121,-0.888773,1,0,69
44,3,235,1,0.637652,-0.251121,-0.888773,1,0,69
45,3,235,1,0.637652,-0.251121,-0.888773,1,0,69
46,3,235,1,0.637652,-0.251121,-0.888773,1,0,69
47,3,235,1,0.637652,-0.251121,-0.888773,1,0,69
48,3,235,1,0.637652,-0.251121,-0.888773,1,0,69
49,3,235,1,0.637652,-0.251121,-0.888773,1,0,69
50,3,235,1,0.637652,-0.251121,-0.888773,1,0,69
51,3,235,1,0.637652,-0.251121,-0.888773,1,0,69
52,3,235,1,0.637652,-0.251121,-0.888773,1,0,69
53,3,235,1,0.637652,-0.251121,-0.888773,1,0,69
54,3,235,1,0.637652,-0.251121,-0.888773,1,0,69
55,3,235,1,0.637652,-0.251121,-0.888773,1,0,69
56,3,235,1,0.637652,-0.251121,-0.888773,1,0,69
57,3,235,1,0.637652,-0.251121,-0.888773,1,0,69
58,3,235,1,0.637652,-0.251121,-0.888773,1,0,69
59,3,235,1,0.637652,-0.251121,-0.888773,1,0,69
60,3,235,1,0.637652,-0.251121,-0.888773,1,0,69
61,3,235,1,0.637652,-0.251121,-0.888773,1,0,69
62,3,235,1,0.637652,-0.251121,-0.888773,1,0,69
63,3,235,1,0.637652,-0.251121,-0.888773,1,0,69
64,3,235,1,0.637652,-0.251121,-0.888773,1,0,69
65,3,235,1,0.637652,-0.251121,-0.888773,1,0,69
66,3,235,1,0.637652,-0.251121,-0.888773,1,0,69
67,3,235,1,0.637652,-0.251121,-0.888773,1,0,69
68,3,235,1,0.637652,-0.251121,-0.888773,1,0,69
69,3,235,1,0.637652,-0.251121,-0.888773,1,0,69
70,3,235,1,0.731874,-0.156899,-0.888773,2,0,193
71,3,235,1,0.731874,-0.156899,-0.888773,2,0,193
72,3,235,1,0.731874,-0.156899,-0.888773,2,0,193
73,3,235,1,0.731874,-0.156899,-0.888773,2,0,193
74,3,235,1,0.731874,-0.156899,-0.888773,2,0,193
75,3,235,1,0.731874,-0.156899,-0.888773,2,0,193
76,3,235,1,0.731874,-0.156899,-0.888773,2,0,193
77,3,235,1,0.731874,-0.156899,-0.888773,2,0,193
78,3,235,1,0.731874,-0.156899,-0.888773,2,0,193
79,3,235,1,0.731874,-0.156899,-0.888773,2,0,193
80,3,235,1,0.731874,-0.156899,-0.888773,2,0,193
81,3,235,1,0.731874,-0.156899,-0.888773,2,0,193
82,3,235,1,0.731874,-0.156899,-0.888773,2,0,193
83,3,235,1,0.731874,-0.156899,-0.888773,2,0,193
84,3,235,1,0.731874,-0.156899,-0.888773,2,0,193
85,3,235,1,0.731874,-0.156899,-0.888773,2,0,193
86,3,235,1,0.731874,-0.156899,-0.888773,2,0,193
87,3,235,1,0.731874,-0.156899,-0.888773,2,0,193
88,3,235,1,0.731874,-0.156899,-0.888773,2,0,193
89,3,235,1,0.731874,-0.156899,-0.888773,2,0,193
90,3,235,1,0.731874,-0.156899,-0.888773,2,0,193
91,3,235,1,0.731874,-0.156899,-0.888773,2,0,193
92,3,235,1,0.731874,-0.156899,-0.888773,2,0,193
