,Noisy_CP_0,Noisy_CP_1,Noisy_CP_2,Noisy_CP_3,Noisy_CP_4,Noisy_CP_5,Noisy_CP_6,Noisy_CP_7,Noisy_CP_8,Noisy_CP_9,Noisy_CP_10,Noisy_CP_11,Noisy_CP_12,Noisy_CP_13,Noisy_CP_14,Noisy_CP_15,Noisy_CP_16,Noisy_CP_17,Noisy_CP_18,Noisy_CP_19,Noisy_CP_20,Noisy_CP_21,Noisy_CP_22,Noisy_CP_23,Noisy_CP_24,Noisy_CP_25,Noisy_CP_26,Noisy_CP_27,Noisy_CP_28,Noisy_CP_29,Noisy_CP_30,Noisy_CP_31,Noisy_CP_32,Noisy_CP_33,Noisy_CP_34,Noisy_CP_35,Noisy_CP_36,Noisy_CP_37,Noisy_CP_38,Noisy_CP_39,Noisy_CP_40,Noisy_CP_41,Noisy_CP_42,Noisy_CP_43,Noisy_CP_44,Noisy_CP_45,Noisy_CP_46,Noisy_CP_47,Noisy_CP_48,Noisy_CP_49,Noisy_CP_50,Noisy_CP_51,Noisy_CP_52,Noisy_CP_53,Noisy_CP_54,Noisy_CP_55,Noisy_CP_56,Noisy_CP_57,Noisy_CP_58,Noisy_CP_59,Noisy_CP_60,Noisy_CP_61,Noisy_CP_62,Noisy_CP_63,Noisy_CP_64
Clean_CP_0,0.01582331157164639,5.565679003500779e-11,0.001298487020593998,2.363307577039411e-19,1.698248547528889e-14,0.003696674416410693,3.277642212006626e-19,1.2618576256724802e-14,6.547336547950813e-15,1.3345668955314873e-30,1.5835159579100992e-28,7.287739609855062e-09,7.058841942178716e-13,2.7283200814415548e-18,1.4939609356902755e-21,2.949390344087329e-36,1.2620217226525031e-25,9.678976096740176e-22,2.709246048865058e-28,3.805902646229255e-34,1.700499044462712e-45,1.0574250567368641e-05,3.18619401100791e-26,2.760074976881338e-25,1.4238943404123995e-46,2.049518892161804e-19,5.481318890920909e-28,6.037443341934546e-48,4.649529422754356e-15,3.0951122002664355e-56,6.274376770618524e-49,2.4228475394073118e-20,4.753133250151106e-53,2.3542360301249948e-26,2.392760609023065e-47,3.4928739230048296e-37,3.599998385349283e-59,2.1019739900369522e-54,2.856527762654446e-21,3.851851200509173e-26,8.245186102939088e-48,1.0020409231913536e-52,1.585476720316242e-61,1.416610910386667e-32,5.131269945749059e-43,3.550303876961336e-46,8.173763397732831e-19,6.999623671257284e-53,8.279449269515799e-58,1.439242254960007e-34,7.144495652177965e-34,1.4183563293291785e-52,1.59798036674488e-56,2.249552878696969e-49,9.829112092604822e-43,1.8356484135612337e-61,1.7826031860206233e-47,1.9888973880151437e-40,2.9069377871585845e-35,9.840281839291707e-39,1.1098728725613337e-54,8.676131472063782e-33,1.8388798574946184e-50,3.1725569925700564e-52,1.4101422533701458e-53
Clean_CP_1,2.6576013390207202e-17,0.0046681159464974685,2.514329871010014e-07,2.0633932490209664e-07,2.6951768402762487e-06,0.024357546425902345,4.3129939098220534e-07,0.0003279941902310383,6.177408937220178e-11,4.712514807765326e-17,9.403160521354796e-16,6.367513906208622e-12,3.5584268916008734e-10,2.0162369658176172e-12,1.276888645624963e-14,3.5847529630184535e-17,1.7653490696584055e-11,1.3636390390689765e-09,3.256125966755198e-15,1.0089655693649167e-17,1.7199545498241042e-24,2.7025205869735204e-13,2.6748336087385354e-20,1.9128358205470448e-11,1.2336916649523776e-27,4.625012887574793e-12,1.8397344645768019e-16,6.634132283103929e-29,5.223533091159605e-16,6.722772964410631e-35,3.3104441981922516e-31,1.0479806845641007e-18,2.823828906335956e-33,3.6360313839573254e-16,4.0175738952102584e-33,2.3206581618212987e-22,1.8209226846897523e-38,7.667098430296612e-36,4.1208891707688983e-26,7.727257064282683e-29,1.5298629733372256e-34,2.4513877625751525e-37,7.387141748951755e-43,1.4393139477386488e-27,6.781740286887208e-34,1.1435115283072141e-38,2.35239664037613e-25,2.9089118605988074e-39,1.2446191200625845e-43,8.48500653438816e-36,4.51062052388362e-35,7.235370659104589e-45,5.373158293884676e-44,9.035998741314672e-42,1.1388286472584628e-35,2.0776661374182482e-48,5.436315791987987e-44,4.481591938656645e-41,4.729321004923323e-40,9.02478130917136e-39,1.5529982415163555e-47,6.551563260636096e-48,4.819857855432727e-46,3.7441458321935e-46,3.940393471564541e-46
Clean_CP_2,1.2164387518009318e-41,0.02024547412327686,4.6389346863794965e-30,7.298443901946256e-15,0.006005689575213861,5.471286948052408e-16,9.976102397484376e-07,0.0001108127036471317,0.0005789383837392045,5.544422220647631e-10,8.052272932879335e-09,6.564499845317914e-36,7.100124576600027e-31,5.678520527971704e-32,6.950039442349083e-35,3.639861499830122e-18,2.416256229237021e-09,9.105399747308762e-18,2.08531440975712e-28,2.907959417450174e-12,1.3883296304969241e-21,1.9779702741128925e-37,3.6307542110464745e-42,2.7914431586675007e-13,2.36706588456951e-36,3.4384505596362067e-28,2.021578002658283e-10,8.07324699761015e-23,4.5692325019001213e-39,1.1235526136415807e-37,5.053168101638457e-25,6.282907792355127e-39,5.614560527809117e-35,1.5831322830272346e-24,3.192732204840705e-48,4.901056576939644e-21,1.2437674101763575e-41,1.1508409219333399e-29,2.6768401394370916e-49,1.4153665586959436e-51,2.6108611714961192e-37,2.0832677471493727e-47,2.557583300370783e-41,1.1351990932539007e-43,1.757364601801594e-29,5.239036658108193e-57,6.325002630070985e-48,6.6343550776033745e-49,1.9277025449445502e-54,1.2501392451157901e-53,1.7158190924460262e-54,1.4755907008996723e-59,6.528893577496199e-41,2.276250439950158e-40,1.941080810317516e-46,6.80818511780318e-52,1.0740180676951612e-46,1.6653335548188064e-58,3.105705177651037e-55,1.8779472436983472e-35,9.393060210035057e-50,7.794040757030831e-67,3.927568266210699e-48,4.7802920700252035e-56,4.325279341234618e-43
Clean_CP_3,2.529044443256553e-55,1.4766681335747085e-13,9.931676286237846e-54,3.37890540341369e-38,7.393268000834485e-11,3.210344677059354e-34,1.2270603446750589e-22,1.246543951336111e-19,0.008774458711115894,5.285871711665203e-19,4.158636932291237e-17,5.3004698353560075e-62,8.838953521262705e-59,6.21228900254077e-62,7.868423029143654e-67,2.4413292685913696e-42,2.4664522699622528e-24,6.505088143198896e-42,6.42809084213274e-59,1.2101669033834721e-25,8.351456602284801e-43,3.4514336542017957e-59,2.798385526375661e-75,2.1800136231875268e-32,2.0975507400489925e-68,3.523724672153173e-56,3.239607370323726e-17,2.2243821127494893e-37,3.859863649145855e-67,2.0559699949309607e-65,5.74774206842903e-38,7.174085754807627e-66,8.054404512607385e-60,1.4104428190938932e-46,1.2187445698338676e-82,8.801214966872004e-37,4.2986466065872333e-69,1.5374778601266123e-43,1.0606713658739897e-73,8.181926218249948e-78,5.701822556855096e-56,8.082304663791865e-77,2.1505352816804516e-60,3.1505819957922897e-69,8.295242187231922e-35,3.27149049747821e-88,7.98721596103123e-70,6.423575979035443e-76,2.970938650689898e-83,1.5515360611010308e-74,5.646390493480485e-78,4.915737634061582e-86,3.9573101689938716e-51,1.936062588886534e-47,2.0372327521309214e-67,3.967851179845984e-71,9.165985356354034e-55,1.3201560689358388e-79,1.1922776574412831e-68,1.0600328721560465e-31,3.129058980832166e-61,2.462274738035676e-74,1.9765536356608805e-56,8.562878829978377e-75,6.194124342034022e-48
Clean_CP_4,8.630774229691305e-21,5.8260706246574894e-09,0.012117240779598738,0.0011994351566920474,7.280394605563078e-13,0.0017595116717017518,2.206175975301378e-08,2.8040423590884656e-07,5.487459125533622e-24,9.201780353194936e-21,8.26256183965371e-21,0.00022258536222612783,0.010587274753289643,0.00143887516989992,0.0014420809446170969,5.697492787413359e-11,6.0898834195170025e-12,0.0001941425586470747,2.1972600984960042e-05,1.1956698850651528e-17,1.272214954463294e-18,1.6053403336953047e-09,7.947731189434859e-07,3.909879067351952e-09,5.379564462603072e-15,0.00036641048716066983,2.7796448818830438e-21,1.0524435391264604e-25,6.601815622924532e-06,1.446132779871753e-23,1.334733239027292e-29,2.2663194324002612e-09,2.488576113183548e-24,4.315456659613276e-10,1.6485077009730395e-17,2.883123652880067e-19,1.4703884713375415e-26,2.7206248741664125e-32,3.4220703368198722e-18,1.4058149293759331e-18,1.6688547847562563e-28,6.4166703822880266e-24,1.0529143485680732e-34,1.3422876398121643e-18,7.321443281530409e-37,2.448274129172966e-24,2.9223955774786663e-19,1.190645306826597e-27,3.9794958953377236e-30,7.432501099488176e-29,2.5365543306020963e-26,2.0948719395612393e-32,1.4810690568998745e-41,2.179383248633403e-42,4.642310792563389e-28,7.415352406146656e-40,2.7106199430899556e-44,6.135229732848371e-33,4.3099512828946426e-38,6.688775602283682e-48,2.9335406288599273e-44,9.728227500997923e-52,5.285810434278528e-46,4.0782534780782703e-38,2.2207295583586375e-47
Clean_CP_5,7.00715980679406e-42,4.478654297134912e-06,7.188928532906981e-18,0.005670746326534724,1.3719439097327951e-08,2.2527089383587142e-11,0.0009830917814517563,0.0008480285543873573,8.370881841796326e-20,2.912433073111274e-12,9.520724709211946e-13,5.206934426691034e-20,8.356756018565631e-14,1.3631064162724733e-12,1.5940243879322328e-12,0.0008559413384665165,1.769794029633142e-05,0.0003345878566051725,1.6743193797872722e-07,1.156841769257536e-08,9.227132392267036e-09,3.451682271590348e-27,3.442454568382057e-17,5.96841027372606e-05,3.880809967465839e-12,2.1523129872629537e-10,3.390572310565878e-14,2.2475791838990494e-15,5.823098575223753e-20,1.0017206238376812e-16,6.835688956976253e-20,8.088116795309827e-21,9.183082372227361e-18,3.4697933156359123e-11,2.1505249041346467e-20,2.142629891366313e-13,2.3884630088160208e-20,2.812689567113837e-22,3.0136306022715318e-34,2.031993918188681e-33,1.1965771929476239e-25,9.822437243571393e-24,2.4807740002802837e-27,2.5159940226288375e-26,2.604576000707128e-32,3.2807810961937214e-32,9.743233616020945e-36,4.3733269859400925e-28,5.865903144867552e-31,1.6814000406304872e-40,1.0200280033559182e-38,1.968144735884653e-38,2.3369630093453565e-36,3.3903134474033932e-40,3.9906956736449263e-32,1.2007106439231291e-37,4.303030482933432e-46,3.4045390230265056e-44,4.295019363457079e-50,3.0627971962360175e-48,3.5513112109173947e-44,3.527043803684861e-70,4.1976452979519695e-47,1.7928678226850313e-42,1.54317291453215e-44
Clean_CP_6,3.7673144429587646e-56,0.0021733414239003806,2.9412959906221717e-36,6.577253467680801e-12,0.020798227593878855,1.3421455800185634e-21,0.0011820643816337659,0.0008565428515342027,1.0197192929277423e-06,0.00035934321786161436,0.00022771059533230293,3.0419647443751446e-40,4.183019807464463e-33,3.027205906928649e-32,1.3963285320203778e-33,6.874243271703492e-09,0.0006995631769506654,7.263698038095337e-14,1.251099496533214e-23,0.0006377737680867827,8.921987362679532e-10,3.118390685236139e-45,1.435416077480912e-39,5.170145816769133e-08,5.354348233122685e-26,7.828543436972087e-27,6.277360146775585e-06,5.956028026876314e-11,2.495461843857047e-40,1.2372818798193949e-24,1.6780807328208062e-14,9.584800674464496e-39,2.0176882232144598e-23,1.3777171773754844e-19,5.341341111371486e-39,1.6955194023824802e-12,3.4147686523538013e-28,2.8101515838403165e-17,2.35404558909391e-52,3.763418120713119e-52,1.0340772748750026e-28,1.0684708329121933e-36,8.496348998161876e-28,8.084137598338677e-41,6.0459665913775784e-24,1.0334403997275303e-50,3.6479325727931135e-52,1.6442426123600596e-39,5.646220128388941e-44,1.9411610697652953e-53,8.255734501693777e-54,2.7311336096523074e-52,3.3090676591247973e-31,1.50448615100911e-34,4.102513567640532e-41,3.860653216853047e-41,2.427434079764434e-43,7.296097148775841e-57,1.2538655313269028e-57,6.157137317559645e-36,7.696292668965556e-43,5.8288030843896675e-77,4.437195994432474e-44,1.769933619059235e-49,1.2226876983854624e-36
Clean_CP_7,1.8984693093434563e-18,2.8772242267028334e-17,0.007097771570936552,2.1521603817274088e-10,6.868602746973604e-22,1.7230786994356777e-07,4.66739681174678e-17,1.435925560389966e-15,1.2691454803755724e-32,5.279654522358839e-30,7.178438910867886e-30,0.009607137891258067,0.0004593358420412072,6.40441573107019e-06,1.5562357866850046e-05,4.2201155802568565e-19,3.49099557227917e-20,1.0532773709069892e-09,4.0855087673465257e-10,1.6473040412997214e-26,5.0674073652887005e-27,1.8736127286110648e-06,4.578263156809538e-06,1.273100997263418e-15,5.636786339308223e-20,1.0848774172221362e-05,5.106668735839619e-29,2.3095085678688565e-33,0.005469194541450321,2.9770141405354385e-29,1.404815819973516e-36,6.46307825613776e-07,1.6149258062613423e-29,2.007137048304852e-12,5.065614501721062e-18,1.0120208326019336e-24,4.1134896573047305e-31,6.054053940772377e-39,1.7377400412871962e-12,3.654496754955688e-13,1.2309772311339966e-30,8.067697881315176e-25,5.984667589623569e-39,2.9031572929694254e-16,5.506700679357768e-41,3.112356993690282e-21,2.498816378724143e-13,8.723721016089478e-28,7.657612855416805e-30,7.248046438832523e-24,4.0769132115281616e-21,4.4656453952894275e-29,6.661398980532158e-45,3.6267930627761247e-44,2.5258552251679914e-26,3.0786946084265045e-40,4.832618880461826e-43,1.5318089804438516e-27,9.390339054447177e-33,9.910431818178438e-50,1.3157241014062684e-43,1.9627100614008972e-44,4.64725345414638e-45,3.2793123280436355e-35,2.1527765300524375e-49
Clean_CP_8,2.6012184592191675e-17,2.3838842757638096e-11,0.009038664253711701,3.703351316619303e-07,7.42222110320933e-16,0.00016420658542283032,3.7895768389411085e-12,3.441434268931004e-10,7.541734672845783e-25,6.35673074548573e-24,2.644256368893325e-23,0.0015708405166655142,0.006952829714802476,0.00011502700506965765,1.4258714140982635e-05,2.152551505116196e-15,2.6965132121527544e-14,5.274048806384122e-06,1.2062426632374184e-08,3.903166934006933e-21,8.55902772128658e-23,1.400931777488956e-06,3.6182847552090915e-07,3.5839940691770384e-11,2.443543891163814e-18,0.00021224180312093377,1.5421853975639048e-22,1.9953460760063594e-28,0.0002804476586981049,1.1165782177619119e-26,3.7311982498451257e-31,1.522850162418526e-06,3.184832547373208e-26,2.901385955605341e-09,2.604783889429161e-18,1.1256419166381638e-19,8.281494136690266e-29,3.596153345012392e-34,1.5573094520085278e-13,8.604011893596727e-15,2.041954593035598e-27,4.83863897319669e-24,1.2333101730543145e-35,1.22760120031384e-15,2.3214481805432583e-35,2.9070794474555527e-22,4.94332029681341e-14,5.784468459444633e-26,2.609415389657778e-29,4.6010771005400225e-23,8.652151256855555e-22,2.626562317315639e-29,1.1154482425172434e-40,5.157871546695418e-39,3.1799015002662018e-24,4.000326454280717e-38,2.1249379462355766e-39,8.538177007512052e-28,2.5091954501986654e-31,1.683605077919107e-43,1.0114160028600874e-40,6.335038804703907e-43,2.2511777137017342e-41,3.878059883131609e-34,8.591860588573436e-45
Clean_CP_9,5.369452642705196e-44,1.520956184856524e-17,3.206885966838601e-15,4.577014788882755e-05,4.700559979355944e-22,2.3699611187351362e-15,3.612873611677964e-12,1.074445304443866e-12,6.310028443205974e-38,2.0312116097135824e-23,3.507687677718602e-24,8.51075633273359e-14,1.2544839147697773e-08,8.834241575201321e-07,5.780180141136294e-05,4.81447760396142e-05,2.2674930697095295e-12,0.0019619293267630535,0.014168576322728778,4.691249861437503e-16,1.4023389081309052e-10,1.022275948668361e-22,4.725682439631363e-06,1.7840023610295978e-07,5.495742371251078e-05,0.00017172610427843135,3.0736722140257976e-24,4.688742954225569e-19,6.281942611303754e-11,2.232573246701836e-11,1.0148147880574296e-23,8.681972428388069e-12,2.000596473933891e-13,1.180407790663982e-07,6.326111125821898e-08,6.196818004582803e-15,1.110135392661578e-13,6.237022182778539e-25,1.3534566806052459e-24,1.1315969496214018e-22,6.519331461762313e-22,2.4188927122715403e-13,5.9711016010779835e-24,5.621312451113916e-17,5.498168412015294e-38,1.1227856056265183e-18,1.6731737350995447e-27,2.105498236137196e-18,1.116017720171321e-19,9.563936170109208e-32,6.892564820580408e-29,2.871753260874067e-26,2.1343571535146857e-37,1.7680929964799642e-42,1.1315542830202909e-24,1.472669708858872e-31,5.2012937837371434e-46,1.2744752741352486e-34,5.229337127161782e-45,1.4609658520490965e-57,3.7316825566142586e-42,4.597874140693822e-69,6.380719005878988e-47,1.5319580829187727e-34,5.0857157190239446e-48
