,Noisy_Region_1,Noisy_Region_2,Noisy_Region_3,Noisy_Region_4,Noisy_Region_5,Noisy_Region_6,Noisy_Region_7,Noisy_Region_8,Noisy_Region_9,Noisy_Region_10,Noisy_Region_11,Noisy_Region_12,Noisy_Region_13,Noisy_Region_14,Noisy_Region_15,Noisy_Region_16,Noisy_Region_17,Noisy_Region_18,Noisy_Region_19,Noisy_Region_20,Noisy_Region_21,Noisy_Region_22,Noisy_Region_23,Noisy_Region_24,Noisy_Region_25,Noisy_Region_26,Noisy_Region_27,Noisy_Region_28,Noisy_Region_29,Noisy_Region_30,Noisy_Region_31,Noisy_Region_32,Noisy_Region_33,Noisy_Region_34,Noisy_Region_35,Noisy_Region_36,Noisy_Region_37,Noisy_Region_38,Noisy_Region_39,Noisy_Region_40,Noisy_Region_41,Noisy_Region_42,Noisy_Region_43,Noisy_Region_44,Noisy_Region_45,Noisy_Region_46,Noisy_Region_47
Clean_Region_1,0.026903172867038447,5.518574101426075e-23,0.005025604238326779,0.0005001473170585928,5.231447132273335e-12,2.640882674999903e-22,3.20538079981284e-20,2.099594951486449e-37,7.266737968295427e-38,0.000442323141597515,4.2802028648149945e-07,3.488046301384887e-29,1.3665843001472217e-22,3.6251028498457805e-27,9.167712679057018e-33,9.954239835659327e-05,9.664968035210979e-06,1.405843171601057e-15,4.2880249192197966e-14,1.5197366894223727e-20,1.8156134654954273e-37,4.012126978794432e-42,2.104841870805809e-49,1.0829112641579924e-33,1.1030651450345263e-35,1.7660938950267848e-12,1.0887634359815093e-33,8.222033754485231e-44,2.751217279955149e-32,9.305310301877576e-41,3.73846775036261e-52,5.395442081778009e-22,5.152477138271648e-26,7.182872931983922e-32,4.887745235435539e-28,1.2747613473081975e-36,6.967748347330934e-52,1.0882269195998202e-56,2.6010220308529754e-15,1.687577571959745e-24,3.273143770174906e-49,8.121974748869152e-55,1.8367714785403218e-34,7.345214140134381e-41,4.5722287132204166e-63,1.1467954775693195e-31,5.180355094430622e-57
Clean_Region_2,1.0248153641873581e-06,6.764846360752199e-16,0.016155210071080568,0.011090577417756509,7.565942732020736e-06,3.546085535086272e-14,1.7803273317123855e-11,6.337664513660298e-29,1.8913278735256109e-28,1.3592494430159474e-05,4.670168009822968e-08,7.692596633132953e-18,2.056736147805527e-12,2.1697442272318369e-16,5.305983070912645e-21,0.0031547728240762553,0.0034147627370930684,7.286056689336697e-08,2.106513712484647e-10,1.1877201528984425e-12,1.684571337203497e-25,8.733580597768154e-30,3.2039729237725772e-37,1.7307177480199973e-22,3.653566269242446e-24,3.2907753966564116e-17,7.149678248459211e-24,1.6799087191661452e-32,3.4443706199257694e-25,6.273676447188541e-34,9.15020571301677e-42,3.844360654419878e-18,1.0668453037894546e-18,5.2277376517001775e-25,2.8519833062076777e-25,3.9435797538995965e-31,4.122825437671454e-40,3.9462456981248195e-46,6.531716297325649e-19,1.4773617861075373e-24,3.1892828674774025e-43,6.135929426051052e-49,3.2074669047694155e-33,2.6161123068058403e-37,1.183044774571169e-54,1.1026278708705406e-33,5.79002335510296e-52
Clean_Region_3,7.932216576346189e-12,1.0318140407994408e-08,0.0002460468639721929,0.0010114643092264497,0.02258037358860045,5.435201055919878e-07,6.061531185959586e-05,2.121955894202022e-19,1.3988528632145311e-18,4.4049171198351695e-09,6.648307245833773e-11,4.048703985095905e-09,6.7130364887536e-06,8.428599873169128e-10,1.276104990762889e-12,0.00017787753074478276,0.0016945403398995263,0.0003061262150417976,2.6723760370828073e-10,4.80393125228071e-09,2.045507367531465e-15,1.5441353278339467e-19,7.089072170852627e-27,2.2126557682943044e-15,1.5470011206738107e-16,4.352155386560399e-22,5.331187123413306e-18,1.1107311187247365e-24,1.6684777489698122e-21,3.66501546945305e-30,3.2322365897286135e-34,8.780256449245329e-18,1.3327940731548657e-15,8.046288757235304e-22,2.017187807354272e-25,1.079804444316766e-28,7.98061357554634e-31,9.988535400426526e-38,7.316164447777258e-23,3.2294707326081104e-26,4.305327955216573e-39,8.033533823100084e-44,8.466185813288274e-34,7.071100082932976e-36,6.923416569879994e-47,3.6188912219428346e-36,4.437100732087156e-47
Clean_Region_4,8.546956492216214e-34,0.02307480773843055,2.956740850350672e-22,3.3515394237562584e-20,2.199706735537054e-10,0.007353530804238395,4.284299318399826e-05,0.0003329335925474824,0.0009017814699749876,1.6881055229521378e-30,3.480751175784689e-31,0.00017953886278020793,1.4326955380227227e-08,8.581161259970005e-13,1.1430936150000485e-09,2.55274319580165e-22,2.347806330486161e-19,4.2288547842231434e-14,7.573353257503052e-27,9.621922075112929e-20,5.132376808734031e-05,1.6040588703684204e-08,5.64311527676714e-14,5.236988022317762e-16,2.163070364941725e-15,1.0743556823165961e-42,5.98621522976301e-21,4.061128118748092e-21,4.580756096855061e-28,9.401324162893822e-35,6.234992382924141e-29,5.920326636172423e-33,3.139547696794354e-26,3.928049012546689e-30,1.2767017460237525e-39,8.805570908868151e-37,7.621639486703203e-21,6.225545115400562e-28,7.150491818204886e-42,1.1705442419842813e-41,1.3997679662694842e-39,3.519842577635117e-39,1.0956242910790844e-45,1.0148569970635533e-43,1.5540719076582135e-34,2.2157738217630005e-50,3.1355038928890724e-41
Clean_Region_5,8.889297583449202e-24,0.00033604037023219984,9.079257311349042e-13,3.124263011450412e-11,0.0001479429602737284,0.0059383832240140905,0.01600187588865721,2.336475208151655e-10,3.4313510720574027e-09,1.3423883332742512e-19,1.668229621899261e-20,0.002931330914058479,0.00095946873769667,2.2460648711419686e-07,4.2552254369511513e-07,1.8076649287933944e-12,2.758217931258704e-10,2.319539551659875e-06,1.7643866334822257e-16,3.880286180677464e-11,8.842335539951014e-07,2.912516641900799e-10,1.2276007532538516e-16,1.3719686175431046e-11,8.10458450637332e-12,6.789524800149487e-33,1.291522787512318e-15,9.054987320952063e-19,1.3143979818395868e-21,2.4033470862669523e-29,1.057953233945804e-27,4.42858159486742e-23,1.1662703874344214e-17,8.03089834623255e-23,1.6306807244661096e-30,5.6966163843645216e-30,6.375274319377407e-22,2.9171233336484347e-29,1.8932803372304202e-32,7.372292634055623e-33,1.3863893243710521e-36,5.363196594392706e-39,3.1236594648890547e-38,1.3864542058849542e-37,5.082347076146657e-38,7.895626208933935e-43,5.0826749234190705e-42
Clean_Region_6,1.5506924108225507e-43,5.766818246372741e-05,1.853436765682081e-32,3.28438237280729e-30,1.2113340954839701e-18,7.561234534041964e-07,3.5134870610608417e-11,0.017326842509557492,0.01159469179420412,1.7914463204031797e-41,4.625262738957699e-42,2.9749248159052933e-09,1.9285958363012664e-16,9.953032057544601e-21,3.4983412190349913e-15,4.728937051209194e-33,1.487718734649699e-29,7.429990992083817e-24,3.882574816341158e-38,3.4532323492669095e-30,7.597212468092462e-07,7.739976211489832e-10,6.43927786783562e-14,1.1909419102112817e-22,2.7301582597314657e-21,3.221314477773178e-52,4.122881839564376e-28,2.6641746089284345e-25,1.5134872161082966e-35,1.3236620194547378e-40,1.4527885267655126e-31,8.529006008388554e-44,4.2249717828997686e-36,2.688063188397628e-38,3.038055235896211e-49,3.4367976180153403e-44,8.106009597967189e-22,4.916034920012315e-28,2.522526855594845e-51,6.437041156661461e-51,5.202691395801132e-43,5.542438543299075e-40,3.678633893772946e-53,6.171891264032136e-50,4.040793824110555e-32,5.983608305455597e-58,6.930068152468119e-41
Clean_Region_7,7.036123839331029e-05,1.878513003426787e-27,0.003611466058013816,0.0006880676159870959,3.187663573555241e-12,7.026956191824897e-25,1.5974101111100967e-20,1.7558599542580042e-41,6.19220963825396e-40,0.020145534595246734,0.0032990796466905057,1.362642362194291e-26,2.1641835314076776e-18,3.010852241556924e-20,1.1874272041113908e-26,0.001764037149814177,9.178857270439103e-05,1.3467949010206349e-11,2.570763098591445e-07,4.711225739345363e-13,4.308693301484342e-35,9.017892415301379e-38,4.513133311648771e-44,1.9508798471048713e-25,1.4449393843468535e-27,6.07638339653234e-08,3.951694898835075e-24,8.960884519877759e-35,1.840221282177363e-22,3.54221245674613e-30,2.1493897926764646e-42,5.567675799934748e-13,1.9204576368266548e-16,1.0012610333214458e-21,2.3617508624813987e-18,4.7606754241388714e-26,5.407613583218612e-44,2.303862855306579e-48,8.197923344961445e-10,2.641392507695303e-16,4.4140027154185566e-39,3.801840486974884e-46,3.2731174677106824e-25,1.2397199979177508e-30,1.5723802155955277e-56,3.5101064250200986e-24,3.8648126090450604e-49
Clean_Region_8,8.064559731812508e-09,1.980155306865874e-34,1.3113683661547064e-06,2.915335205709791e-07,1.348482355990403e-16,6.528976115350476e-31,2.461389259266254e-25,1.0565833329434155e-47,5.655402771044462e-45,0.0012071460271986171,0.02552157278175544,1.0762400068113095e-29,2.771831631728801e-20,8.72479024467516e-20,9.413399646965998e-27,4.260204874577419e-06,6.182215536362991e-08,2.9759753813642496e-13,2.7385936553567043e-05,2.3660925698530372e-11,5.015783700268224e-38,9.783262272884101e-39,3.1028218239938083e-43,3.383275995897407e-23,2.0747077377629404e-25,0.0022301049691542986,5.039554157595195e-20,5.904808113082631e-31,1.0963897176533532e-16,5.972037292741158e-23,1.3621320203846953e-36,1.3296315864707125e-07,5.7859266039215714e-12,1.0085771179337704e-15,4.725800807964245e-11,3.051606648632287e-18,1.2405983740665946e-40,1.201022123123301e-43,0.0001514445430606916,4.371348212407953e-09,6.870362536207242e-31,9.023526985062316e-39,1.0059700586224618e-16,7.225615839941875e-22,4.648667489854054e-52,5.625257981320712e-16,6.406592748165802e-42
Clean_Region_9,5.236376204478363e-39,2.5927517364717017e-09,1.7012582610510306e-24,3.041400639035565e-22,3.0075617522901856e-12,2.712937178442805e-07,8.934025780522295e-07,2.545912337578211e-10,1.3641873593097591e-07,1.9410743652941462e-31,3.925316435308525e-30,0.019065263283965208,2.9289158316056767e-05,2.0269760453865855e-06,0.0007078316505203888,3.370388078524138e-23,2.993089235805317e-20,3.3055331283066175e-11,2.8557121514412727e-22,1.0899399273238085e-13,0.004720858316754271,0.00038184472649388187,2.2095065818109778e-08,4.897052470590612e-08,1.7875944056670152e-07,3.506398440643238e-42,3.69883655249678e-12,5.488553782509469e-12,1.3241926032074347e-19,3.4363734312012057e-25,2.907931498479338e-19,1.8071239038600584e-26,3.72301960216575e-18,2.0768349783142242e-21,1.1882532432843471e-32,5.274932413988712e-28,8.848816490115659e-13,1.674547772499131e-19,2.425355670743405e-40,5.0302754081856985e-37,1.0425003033988666e-30,1.073519036122474e-31,2.8154847263298405e-39,1.4735645725818193e-35,3.0850379120129776e-28,8.865189379296398e-47,1.2245999679993256e-34
Clean_Region_10,2.555879563211299e-29,5.3060520343327585e-12,7.348407445964139e-16,4.173052421914171e-14,7.996804924665889e-08,9.404216616872639e-09,6.680322894490102e-06,1.0731502436458559e-17,1.8635734987426435e-14,4.8767458204091645e-21,8.688371923568858e-20,0.0012659695146838561,0.021505664947660506,0.0031395965851985287,0.0008474601395211845,3.105971831460513e-14,2.7694853562529607e-12,3.4847059895387654e-05,9.697105569395688e-13,1.4217913856783979e-06,2.3392591084458456e-07,8.219706253395626e-09,4.1466537398597176e-14,5.821853604823517e-06,2.4839412321878335e-06,1.6554937293973316e-31,9.84053857530096e-09,2.683846212398987e-12,1.7038281647572714e-14,2.1453775710512432e-21,1.8072351142266242e-20,5.743995266962072e-17,6.89167172657867e-11,2.1190235831900853e-15,1.1060706178277943e-23,4.359790930861983e-22,1.1005867552465446e-16,1.7536832347221068e-23,4.5679040153577814e-30,1.1941303395260926e-27,4.243307520766039e-29,5.88176994665239e-33,8.825400503044137e-32,4.654996639781387e-30,4.809389458858017e-34,2.594033771773218e-38,9.072860102883485e-37
