region_id,min_id,max_id,num_saddles,boundary_saddles,hyperedge,hyperedge_size,region_size
1,0,8,2,"[4, 7]","[0, 4, 7, 8]",4,303
2,1,8,2,"[4, 9]","[1, 4, 9, 8]",4,197
3,1,12,2,"[5, 9]","[1, 5, 9, 12]",4,332
4,2,10,2,"[6, 11]","[2, 6, 11, 10]",4,333
5,2,12,2,"[5, 11]","[2, 5, 11, 12]",4,219
6,3,10,2,"[6, 13]","[3, 6, 13, 10]",4,221
7,16,8,2,"[7, 14]","[16, 7, 14, 8]",4,269
8,16,25,2,"[14, 21]","[16, 14, 21, 25]",4,337
9,17,10,2,"[11, 15]","[17, 11, 15, 10]",4,199
10,17,12,2,"[11, 18]","[17, 11, 18, 12]",4,308
11,17,24,2,"[18, 27]","[17, 18, 27, 24]",4,271
12,17,23,2,"[15, 27]","[17, 15, 27, 23]",4,321
13,19,8,2,"[9, 14]","[19, 9, 14, 8]",4,289
14,19,12,2,"[9, 18]","[19, 9, 18, 12]",4,219
15,19,24,2,"[18, 22]","[19, 18, 22, 24]",4,368
16,19,25,2,"[14, 22]","[19, 14, 22, 25]",4,228
17,20,10,2,"[13, 15]","[20, 13, 15, 10]",4,316
18,20,23,2,"[15, 26]","[20, 15, 26, 23]",4,273
19,28,24,2,"[27, 29]","[28, 27, 29, 24]",4,315
20,28,23,2,"[27, 30]","[28, 27, 30, 23]",4,206
21,28,40,2,"[30, 35]","[28, 30, 35, 40]",4,303
22,28,41,2,"[29, 35]","[28, 29, 35, 41]",4,248
23,31,24,2,"[22, 29]","[31, 22, 29, 24]",4,199
24,31,25,2,"[22, 32]","[31, 22, 32, 25]",4,336
25,31,37,2,"[32, 38]","[31, 32, 38, 37]",4,236
26,31,41,2,"[29, 38]","[31, 29, 38, 41]",4,269
27,33,23,2,"[26, 30]","[33, 26, 30, 23]",4,318
28,33,40,2,"[30, 39]","[33, 30, 39, 40]",4,178
29,34,25,2,"[21, 32]","[34, 21, 32, 25]",4,270
30,34,37,2,"[32, 36]","[34, 32, 36, 37]",4,303
31,42,37,2,"[38, 46]","[42, 38, 46, 37]",4,318
32,42,41,2,"[38, 47]","[42, 38, 47, 41]",4,215
33,43,40,2,"[35, 48]","[43, 35, 48, 40]",4,244
34,43,41,2,"[35, 47]","[43, 35, 47, 41]",4,322
35,44,37,2,"[36, 46]","[44, 36, 46, 37]",4,232
36,45,40,2,"[39, 48]","[45, 39, 48, 40]",4,277
