region_id,min_id,max_id,num_saddles,boundary_saddles,hyperedge,hyperedge_size,region_size
1,0,12,2,"[2, 11]","[0, 2, 11, 12]",4,243
2,1,16,2,"[4, 6]","[1, 4, 6, 16]",4,160
3,5,12,2,"[2, 14]","[5, 2, 14, 12]",4,117
4,5,13,2,"[14, 18]","[5, 14, 18, 13]",4,136
5,5,17,2,"[3, 18]","[5, 3, 18, 17]",4,401
6,7,16,2,"[6, 15]","[7, 6, 15, 16]",4,112
7,7,17,2,"[3, 15]","[7, 3, 15, 17]",4,235
8,8,16,2,"[4, 9]","[8, 4, 9, 16]",4,182
9,10,16,2,"[9, 19]","[10, 9, 19, 16]",4,39
10,21,12,2,"[11, 22]","[21, 11, 22, 12]",4,284
11,21,31,2,"[22, 28]","[21, 22, 28, 31]",4,323
12,23,16,2,"[15, 20]","[23, 15, 20, 16]",4,188
13,23,17,2,"[15, 24]","[23, 15, 24, 17]",4,303
14,23,33,2,"[24, 29]","[23, 24, 29, 33]",4,295
15,23,35,2,"[20, 29]","[23, 20, 29, 35]",4,278
16,25,12,2,"[14, 22]","[25, 14, 22, 12]",4,148
17,25,13,2,"[14, 18]","[25, 14, 18, 13]",4,57
18,25,17,2,"[18, 24]","[25, 18, 24, 17]",4,219
19,25,31,2,"[22, 34]","[25, 22, 34, 31]",4,341
20,25,33,2,"[24, 34]","[25, 24, 34, 33]",4,232
21,26,16,2,"[19, 20]","[26, 19, 20, 16]",4,340
22,26,35,2,"[20, 27]","[26, 20, 27, 35]",4,264
23,30,35,2,"[27, 37]","[30, 27, 37, 35]",4,20
24,32,33,2,"[29, 36]","[32, 29, 36, 33]",4,30
25,32,35,2,"[29, 36]","[32, 29, 36, 35]",4,18
26,38,31,2,"[28, 39]","[38, 28, 39, 31]",4,165
27,40,33,2,"[36, 41]","[40, 36, 41, 33]",4,236
28,40,35,2,"[36, 42]","[40, 36, 42, 35]",4,274
29,40,47,2,"[41, 48]","[40, 41, 48, 47]",4,71
30,40,54,2,"[48, 55]","[40, 48, 55, 54]",4,264
31,40,53,2,"[42, 55]","[40, 42, 55, 53]",4,306
32,43,31,2,"[34, 45]","[43, 34, 45, 31]",4,315
33,43,33,2,"[34, 41]","[43, 34, 41, 33]",4,212
34,43,47,2,"[41, 48]","[43, 41, 48, 47]",4,11
35,43,49,2,"[45, 51]","[43, 45, 51, 49]",4,205
36,43,54,2,"[48, 51]","[43, 48, 51, 54]",4,243
37,44,35,2,"[37, 42]","[44, 37, 42, 35]",4,256
38,44,53,2,"[42, 52]","[44, 42, 52, 53]",4,201
39,46,31,2,"[39, 45]","[46, 39, 45, 31]",4,138
40,46,49,2,"[45, 50]","[46, 45, 50, 49]",4,330
41,56,54,2,"[55, 63]","[56, 55, 63, 54]",4,270
42,56,53,2,"[55, 60]","[56, 55, 60, 53]",4,170
43,58,49,2,"[51, 57]","[58, 51, 57, 49]",4,266
44,58,54,2,"[51, 63]","[58, 51, 63, 54]",4,220
45,59,53,2,"[52, 64]","[59, 52, 64, 53]",4,239
46,61,49,2,"[50, 57]","[61, 50, 57, 49]",4,218
47,62,53,2,"[60, 64]","[62, 60, 64, 53]",4,60
