cp_index,point_id,cp_type,x,y,z,mu
0,0,0,4.0404,0.0,-47.2428,0.01582239042408872
1,1,0,70.7071,0.0,-44.0648,0.02716337583043443
2,22,1,17.6768,0.0,-13.5115,0.029976472574378688
3,23,1,48.9899,0.0,-8.5365,0.00701937468611262
4,24,1,81.3131,0.0,-16.4353,0.02716337583043443
5,2,0,35.3535,2.0202,-44.4387,0.029976472574378688
6,25,1,66.6667,3.53535,-33.5972,0.002193618723455384
7,3,0,63.6364,4.0404,-39.122,0.002193618723455384
8,4,0,100.0,4.0404,-50.8709,0.011477592557838331
9,26,1,100.0,9.59596,-21.3729,0.0013123283313599598
10,5,0,100.0,12.1212,-28.3922,0.0013123283313599598
11,27,1,0.0,14.6465,-16.2851,0.013557048397724326
12,54,2,16.3336,15.8039,16.5938,0.017998611001621468
13,55,2,23.4913,16.7099,12.1145,0.001561254998905761
14,28,1,20.202,17.6768,6.29202,0.001561254998905761
15,29,1,71.7172,17.6768,-9.12044,0.02295467501067673
16,56,2,81.2047,17.8823,13.0826,0.010779285969511615
17,57,2,49.7797,18.8778,17.5302,0.014039099808978005
18,30,1,32.8283,19.697,-11.2176,0.01420676233083063
19,31,1,100.0,19.697,-10.9149,0.03048241135033438
20,32,1,83.3333,30.303,-8.76046,0.010779285969511615
21,6,0,0.0,31.3131,-37.8681,0.013557048397724326
22,33,1,16.6667,31.3131,-7.56465,0.017998611001621468
23,7,0,66.6667,32.3232,-37.581,0.02295467501067673
24,34,1,51.5152,32.8283,-3.13112,0.014039099808978005
25,8,0,33.3333,33.3333,-34.5396,0.01420676233083063
26,9,0,98.9899,33.3333,-41.1344,0.03234631342117003
27,35,1,99.4949,45.9596,-11.3635,0.03234631342117003
28,36,1,0.0,46.9697,-13.5992,0.03249994319973311
29,37,1,66.6667,46.9697,-4.98945,0.0019456140568035244
30,10,0,100.0,50.5051,-18.7346,0.0018310255469011405
31,58,2,14.4063,51.1005,19.3347,0.019042254212428066
32,11,0,66.6667,51.5152,-14.9611,0.0019456140568035244
33,59,2,52.1682,51.7315,30.8581,0.011477592557838331
34,38,1,35.3535,52.0202,-6.37379,0.019042254212428066
35,60,2,84.5387,52.786,21.9545,0.015409969753246822
36,39,1,64.6465,53.0303,-4.16603,0.015409969753246822
37,40,1,100.0,53.0303,-11.5965,0.0018310255469011405
38,12,0,2.0202,63.6364,-36.183,0.0021046558183565023
39,41,1,4.54545,66.1616,-31.7659,0.0021046558183565023
40,13,0,69.697,66.6667,-32.4989,0.007026306274459523
41,42,1,51.0101,66.6667,-6.22439,0.01771043392181765
42,43,1,84.3434,67.1717,-12.3749,0.03317305567499714
43,14,0,33.3333,67.6768,-34.7541,0.015027271169663894
44,15,0,98.9899,68.6869,-42.7935,0.03048241135033438
45,44,1,20.7071,69.1919,-10.6719,0.015027271169663894
46,16,0,0.0,69.697,-43.229,0.03249994319973311
47,61,2,51.132,69.9336,9.77002,0.001565951356309527
48,45,1,48.9899,71.2121,3.63059,0.001565951356309527
49,62,2,18.8526,80.1201,16.9661,0.01516329088317105
50,46,1,0.50505,81.3131,-12.5168,0.01582239042408872
51,47,1,35.3535,84.3434,-4.322,0.01516329088317105
52,48,1,99.4949,84.3434,-10.9071,0.03192732214958586
53,64,2,85.5936,85.202,16.8878,0.014196050045460361
54,63,2,49.7857,85.5542,20.4943,0.01771043392181765
55,49,1,68.1818,86.3636,-13.8266,0.007026306274459523
56,17,0,66.6667,97.9798,-42.1345,0.03317305567499714
57,50,1,18.6869,97.9798,-13.8665,0.024383604702963104
58,18,0,34.3434,98.9899,-39.6912,0.024383604702963104
59,19,0,100.0,98.9899,-42.0127,0.03192732214958586
60,52,1,71.2121,99.4949,-30.6958,0.002281245488845945
61,20,0,0.0,100.0,-50.2868,0.00701937468611262
62,21,0,73.7374,100.0,-37.9626,0.002281245488845945
63,51,1,52.0202,100.0,-6.92494,0.02403012156000572
64,53,1,85.3535,100.0,-9.95204,0.013808709141126226
