Point ID,AscendingManifold,data,data_Order,DescendingManifold,MorseSmaleManifold,Points_0,Points_1,Points_2,Points_Magnitude,TextureCoordinates_0,TextureCoordinates_1,TextureCoordinates_Magnitude
0,-1,-0.774443,123,0,0,0,0,-42.0807,42.0807,0,0,0
1,-1,-0.774443,122,0,0,1.0101,0,-41.5963,41.6086,0.010101,0,0.010101
2,-1,-0.774443,121,0,0,2.0202,0,-38.7221,38.7748,0.020202,0,0.020202
3,-1,-0.811073,63,0,0,3.0303,0,-40.5537,40.6667,0.030303,0,0.030303
4,-1,-0.944856,4,0,0,4.0404,0,-47.2428,47.4152,0.040404,0,0.040404
5,0,-0.936641,5,0,1,5.05051,0,-46.832,47.1036,0.050505,0,0.050505
6,0,-0.8098,66,0,1,6.06061,0,-40.49,40.9411,0.0606061,0,0.0606061
7,0,-0.708491,267,0,1,7.07071,0,-35.4245,36.1233,0.0707071,0,0.0707071
8,0,-0.654187,434,0,1,8.08081,0,-32.7094,33.6927,0.0808081,0,0.0808081
9,0,-0.586543,869,0,1,9.09091,0,-29.3271,30.7038,0.0909091,0,0.0909091
10,-1,-0.444648,1927,0,0,10.101,0,-22.2324,24.4195,0.10101,0,0.10101
11,-1,-0.359826,2725,0,0,11.1111,0,-17.9913,21.1458,0.111111,0,0.111111
12,-1,-0.343178,2940,0,0,12.1212,0,-17.1589,21.0084,0.121212,0,0.121212
13,-1,-0.318433,3198,0,0,13.1313,0,-15.6581,20.4355,0.131313,0,0.131313
14,-1,-0.318433,3199,0,0,14.1414,0,-15.9216,21.295,0.141414,0,0.141414
15,0,-0.318433,3200,0,1,15.1515,0,-17.2752,22.9783,0.151515,0,0.151515
16,0,-0.318433,3201,0,1,16.1616,0,-16.4382,23.0524,0.161616,0,0.161616
17,0,-0.28934,3593,0,1,17.1717,0,-14.467,22.4535,0.171717,0,0.171717
18,0,-0.251121,4117,2,3,18.1818,0,-12.5561,22.096,0.181818,0,0.181818
19,-1,-0.306742,3373,2,0,19.1919,0,-15.3371,24.5674,0.191919,0,0.191919
20,-1,-0.332562,3062,2,0,20.202,0,-19.2967,27.9372,0.20202,0,0.20202
21,0,-0.332562,3061,2,3,21.2121,0,-18.7967,28.342,0.212121,0,0.212121
22,0,-0.332562,3060,2,3,22.2222,0,-16.6281,27.7547,0.222222,0,0.222222
23,0,-0.381995,2520,2,3,23.2323,0,-19.0997,30.0756,0.232323,0,0.232323
24,0,-0.468509,1760,2,3,24.2424,0,-23.4255,33.7112,0.242424,0,0.242424
25,0,-0.493019,1518,2,3,25.2525,0,-24.651,35.2897,0.252525,0,0.252525
26,0,-0.493088,1517,2,3,26.2626,0,-24.6544,36.0217,0.262626,0,0.262626
27,0,-0.553353,1077,2,3,27.2727,0,-27.6676,38.8497,0.272727,0,0.272727
28,-1,-0.612453,667,2,0,28.2828,0,-30.6226,41.6853,0.282828,0,0.282828
29,-1,-0.612453,666,2,0,29.2929,0,-30.3964,42.214,0.292929,0,0.292929
30,-1,-0.626228,561,2,0,30.303,0,-31.3114,43.5738,0.30303,0,0.30303
31,-1,-0.745764,178,2,0,31.3131,0,-37.2882,48.6921,0.313131,0,0.313131
32,-1,-0.829645,48,2,0,32.3232,0,-41.5466,52.6395,0.323232,0,0.323232
33,3,-0.829645,47,2,5,33.3333,0,-41.4823,53.2155,0.333333,0,0.333333
34,-1,-0.765879,136,2,0,34.3434,0,-38.2939,51.4383,0.343434,0,0.343434
35,-1,-0.735081,210,2,0,35.3535,0,-35.8548,50.3532,0.353535,0,0.353535
36,-1,-0.735081,211,2,0,36.3636,0,-36.7541,51.7028,0.363636,0,0.363636
37,-1,-0.73358,212,2,0,37.3737,0,-36.679,52.3655,0.373737,0,0.373737
38,-1,-0.629514,540,2,0,38.3838,0,-31.4757,49.6391,0.383838,0,0.383838
39,-1,-0.56852,993,2,0,39.3939,0,-24.6415,46.466,0.393939,0,0.393939
40,-1,-0.56852,994,2,0,40.404,0,-23.2981,46.64,0.40404,0,0.40404
41,-1,-0.56852,995,2,0,41.4141,0,-26.7796,49.3181,0.414141,0,0.414141
42,-1,-0.56852,996,2,0,42.4242,0,-28.426,51.0671,0.424242,0,0.424242
43,3,-0.48737,1574,2,5,43.4343,0,-24.3685,49.8033,0.434343,0,0.434343
44,3,-0.395855,2381,2,5,44.4444,0,-19.7927,48.6525,0.444444,0,0.444444
45,3,-0.327488,3107,2,5,45.4545,0,-16.3744,48.3139,0.454545,0,0.454545
46,3,-0.254553,4076,2,5,46.4646,0,-12.7276,48.1763,0.464646,0,0.464646
47,3,-0.189223,5084,2,5,47.4747,0,-9.46114,48.4083,0.474747,0,0.474747
48,3,-0.156899,5558,2,5,48.4848,0,-7.84496,49.1154,0.484848,0,0.484848
49,3,-0.184561,5166,3,7,49.4949,0,-9.22804,50.3479,0.494949,0,0.494949
50,-1,-0.227117,4458,3,0,50.5051,0,-11.3559,51.766,0.50505,0,0.50505
51,-1,-0.309357,3340,3,0,51.5152,0,-15.4679,53.7872,0.515152,0,0.515152
52,-1,-0.345875,2892,3,0,52.5253,0,-20.7081,56.46,0.525253,0,0.525253
53,3,-0.345875,2891,3,7,53.5354,0,-21.3471,57.6345,0.535354,0,0.535354
54,3,-0.345875,2890,3,7,54.5455,0,-19.6961,57.9926,0.545455,0,0.545455
55,3,-0.345875,2889,3,7,55.5556,0,-18.5923,58.5841,0.555556,0,0.555556
56,3,-0.345875,2888,3,7,56.5657,0,-17.2938,59.1502,0.565657,0,0.565657
57,-1,-0.364439,2683,3,0,57.5758,0,-18.222,60.3905,0.575758,0,0.575758
