region_i,region_j,shared_cps,vc_distance
1,3,"[2, 12]",24.24492500532688
1,10,"[11, 12]",17.615114285952487
2,6,"[16, 6]",8.838662872818368
2,8,"[16, 4]",24.425064918366918
3,4,"[5, 14]",8.349932889985197
3,16,"[12, 14]",6.120976828945572
4,5,"[18, 5]",32.03524959003799
4,17,"[18, 13, 14]",6.610121792818512
5,7,"[17, 3]",18.30613323794662
5,18,"[17, 18]",17.93762657927192
6,7,"[7, 15]",13.417798527388952
6,12,"[16, 15]",26.275679731353982
7,13,"[17, 15]",19.304694694716105
8,9,"[16, 9]",7.887176379168692
9,21,"[16, 19]",20.234479356388714
10,11,"[21, 22]",17.512579299229664
10,16,"[12, 22]",19.929486679473296
11,19,"[22, 31]",18.610525062653597
11,26,"[28, 31]",27.857052034125577
12,13,"[23, 15]",17.571539178248063
12,15,"[20, 23]",18.173768502695985
12,21,"[16, 20]",15.493805244361578
13,14,"[24, 23]",14.905439690139437
13,18,"[24, 17]",18.095930608071406
14,15,"[29, 23]",14.211978676661747
14,20,"[24, 33]",17.492041430130715
14,24,"[33, 29]",11.781223557762017
15,22,"[35, 20]",20.580763186989724
15,25,"[35, 29]",14.00995004834827
16,17,"[25, 14]",5.029243868712334
16,19,"[25, 22]",26.687268929650756
17,18,"[25, 18]",22.13578128683211
18,20,"[24, 25]",17.642458205519166
19,20,"[25, 34]",19.05677940100462
19,32,"[34, 31]",21.41550962496391
20,33,"[33, 34]",16.502826820555704
21,22,"[26, 20]",15.093655184838411
22,23,"[27, 35]",11.833427257177965
23,37,"[35, 37]",13.565919915710221
24,25,"[32, 36, 29]",3.9457328276009123
24,27,"[33, 36]",10.922453850096677
25,28,"[35, 36]",14.367899224349268
26,39,"[39, 31]",5.2250997896243705
27,28,"[40, 36]",18.74473833378582
27,29,"[40, 41]",17.794586155074054
27,33,"[41, 33]",16.729849442141738
28,31,"[40, 42]",14.67955850146673
28,37,"[42, 35]",15.943727649414946
29,30,"[40, 48]",15.130011638681205
29,34,"[48, 41, 47]",4.370687989528955
30,31,"[40, 55]",21.557789008853735
30,36,"[48, 54]",15.27166601110442
30,41,"[54, 55]",19.273718035742185
31,38,"[42, 53]",15.481991969593391
31,42,"[53, 55]",27.331986630533326
32,33,"[34, 43]",18.916598188471394
32,35,"[43, 45]",13.1991532723957
32,39,"[45, 31]",31.0957507836933
33,34,"[41, 43]",13.9233801065433
34,36,"[48, 43]",11.961772343705492
35,36,"[43, 51]",18.005490895510057
35,40,"[49, 45]",15.633070461036672
35,43,"[49, 51]",17.00378486737391
36,44,"[51, 54]",14.40761353623931
37,38,"[42, 44]",16.119783269940186
38,45,"[52, 53]",15.500202628318446
39,40,"[45, 46]",24.359398944522425
40,46,"[49, 50]",14.77591473673535
41,42,"[56, 55]",17.53639807394233
41,44,"[54, 63]",19.142869309168514
42,47,"[60, 53]",6.442206121325132
43,44,"[58, 51]",16.558930357701954
43,46,"[57, 49]",18.05416397486377
45,47,"[64, 53]",28.576330679010102
